period,demand,marketPrice,oldMarketPrace,player kazanma,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11,Player12,Player13,Player14,Player15,Player16,Player17,Player18,Player19,Player20,Player21,Player22,Player23,Player24,Player25,Player26,Player27,Player28,Player29,Player30,Player31,Player32,Player33,Player34,Player35,Player36,Player37,Player38,Player39,quant,player_bid_price,pltNum,Bioenergy,CCGT,Coal,Geothermal,Hydro,Nuclear,Solar,Wind,capacity,investmentCost,efficiency,capacityFactor,CO_Emission,to_build_period,operation_period,fc_Urn,fc_Coal,fc_Gas,fc_Bio,cc_Urn,cc_Coal,cc_Gas,cc_Bio
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,39,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,39,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,52,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,10,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,20,11,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,680,20,12,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,150,13,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150,180,14,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,19,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,100,20,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
1,26640,155,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,50,20,0,0,0,0,0,0,0,0,,,,,,,,1,4,9,3,0,2,2,0.5
